from_id,to_id,dist_km,from_depto,from_mpio,from_depto_id,to_depto,to_mpio,to_depto_id
68 - AGUADA,70 - SINCELEJO,NA,68,AGUADA,68,70,SINCELEJO,70
05 - MEDELLÍN,73 - IBAGUÉ,NA,05,MEDELLÍN,05,73,IBAGUÉ,73
08 - BARRANQUILLA,73 - IBAGUÉ,NA,08,BARRANQUILLA,08,73,IBAGUÉ,73
"11 - BOGOTÁ, D.C.",73 - IBAGUÉ,NA,11,"BOGOTÁ, D.C.",11,73,IBAGUÉ,73
13 - CARTAGENA DE INDIAS,73 - IBAGUÉ,NA,13,CARTAGENA DE INDIAS,13,73,IBAGUÉ,73
15 - TUNJA,73 - IBAGUÉ,NA,15,TUNJA,15,73,IBAGUÉ,73
17 - MANIZALES,73 - IBAGUÉ,NA,17,MANIZALES,17,73,IBAGUÉ,73
18 - FLORENCIA,73 - IBAGUÉ,NA,18,FLORENCIA,18,73,IBAGUÉ,73
19 - POPAYÁN,73 - IBAGUÉ,NA,19,POPAYÁN,19,73,IBAGUÉ,73
20 - ASTREA,73 - IBAGUÉ,NA,20,ASTREA,20,73,IBAGUÉ,73
23 - MONTERÍA,73 - IBAGUÉ,NA,23,MONTERÍA,23,73,IBAGUÉ,73
25 - ALBÁN,73 - IBAGUÉ,NA,25,ALBÁN,25,73,IBAGUÉ,73
27 - RIOSUCIO,73 - IBAGUÉ,NA,27,RIOSUCIO,27,73,IBAGUÉ,73
41 - NEIVA,73 - IBAGUÉ,NA,41,NEIVA,41,73,IBAGUÉ,73
44 - BARRANCAS,73 - IBAGUÉ,NA,44,BARRANCAS,44,73,IBAGUÉ,73
47 - PEDRAZA,73 - IBAGUÉ,NA,47,PEDRAZA,47,73,IBAGUÉ,73
50 - VILLAVICENCIO,73 - IBAGUÉ,NA,50,VILLAVICENCIO,50,73,IBAGUÉ,73
52 - SANDONÁ,73 - IBAGUÉ,NA,52,SANDONÁ,52,73,IBAGUÉ,73
54 - SAN JOSÉ DE CÚCUTA,73 - IBAGUÉ,NA,54,SAN JOSÉ DE CÚCUTA,54,73,IBAGUÉ,73
63 - ARMENIA,73 - IBAGUÉ,NA,63,ARMENIA,63,73,IBAGUÉ,73
66 - PEREIRA,73 - IBAGUÉ,NA,66,PEREIRA,66,73,IBAGUÉ,73
68 - AGUADA,73 - IBAGUÉ,NA,68,AGUADA,68,73,IBAGUÉ,73
