"ano";"COD_DANE_DPTO_D";"DEPARTAMENTO_D";"COD_DANE_MUNIC_D";"MUNICIPIO_D";"quinquenio";"clase";"sexo";"poblacion"
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"15-19";"Cabecera Municipal";"hombres";353
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"15-19";"Cabecera Municipal";"mujeres";270
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"15-19";"Centros Poblados y Rural Disperso";"hombres";208
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"15-19";"Centros Poblados y Rural Disperso";"mujeres";194
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"20-24";"Cabecera Municipal";"hombres";286
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"20-24";"Cabecera Municipal";"mujeres";244
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"20-24";"Centros Poblados y Rural Disperso";"hombres";179
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"20-24";"Centros Poblados y Rural Disperso";"mujeres";185
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"25-29";"Cabecera Municipal";"hombres";200
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"25-29";"Cabecera Municipal";"mujeres";193
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"25-29";"Centros Poblados y Rural Disperso";"hombres";126
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"25-29";"Centros Poblados y Rural Disperso";"mujeres";133
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"30-34";"Cabecera Municipal";"hombres";146
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"30-34";"Cabecera Municipal";"mujeres";157
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"30-34";"Centros Poblados y Rural Disperso";"hombres";79
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"30-34";"Centros Poblados y Rural Disperso";"mujeres";88
1985;"08";"ATLÁNTICO";"08141";"CANDELARIA";"35-39";"Cabecera Municipal";"hombres";118
